INSERT INTO alumnos (nombre, apellido, email, fecha_inscripcion, campus_id, promocion_id, modalidad_id, vertical_id, lead_instructor_id, teaching_assistant_id) VALUES
('Jafet', 'Casals', 'Jafet_Casals@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Jorge', 'Manzanares', 'Jorge_Manzanares@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Onofre', 'Adadia', 'Onofre_Adadia@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Merche', 'Prada', 'Merche_Prada@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Pilar', 'Abella', 'Pilar_Abella@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Leoncio', 'Tena', 'Leoncio_Tena@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Odalys', 'Torrijos', 'Odalys_Torrijos@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Eduardo', 'Caparrós', 'Eduardo_Caparrós@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Ignacio', 'Goicoechea', 'Ignacio_Goicoechea@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Clementina', 'Santos', 'Clementina_Santos@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Daniela', 'Falcó', 'Daniela_Falcó@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Abraham', 'Vélez', 'Abraham_Vélez@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Maximiliano', 'Menéndez', 'Maximiliano_Menéndez@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Anita', 'Heredia', 'Anita_Heredia@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Eli', 'Casas', 'Eli_Casas@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Guillermo', 'Borrego', 'Guillermo_Borrego@gmail.com', '2024-02-12', 1, 2, 1, 1, 9, 1),
('Sergio', 'Aguirre', 'Sergio_Aguirre@gmail.com', '2024-02-12', 1, 2, 1, 1, 9, 1),
('Carlito', 'Carrión', 'Carlito_Carrión@gmail.com', '2024-02-12', 1, 2, 1, 1, 9, 1),
('Haydée', 'Figueroa', 'Haydée_Figueroa@gmail.com', '2024-02-12', 1, 2, 1, 1, 9, 1),
('Chita', 'Mancebo', 'Chita_Mancebo@gmail.com', '2024-02-12', 1, 2, 1, 1, 9, 1),
('Joaquina', 'Asensio', 'Joaquina_Asensio@gmail.com', '2024-02-12', 1, 2, 1, 1, 9, 1),
('Cristian', 'Sarabia', 'Cristian_Sarabia@gmail.com', '2024-02-12', 1, 2, 1, 1, 9, 1),
('Isabel', 'Ibáñez', 'Isabel_Ibáñez@gmail.com', '2024-02-12', 1, 2, 1, 1, 9, 1),
('Desiderio', 'Jordá', 'Desiderio_Jordá@gmail.com', '2024-02-12', 1, 2, 1, 1, 9, 1),
('Rosalina', 'Llanos', 'Rosalina_Llanos@gmail.com', '2024-02-12', 1, 2, 1, 1, 9, 1),
('Amor', 'Larrañaga', 'Amor_Larrañaga@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Teodoro', 'Alberola', 'Teodoro_Alberola@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Cleto', 'Plana', 'Cleto_Plana@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Aitana', 'Sebastián', 'Aitana_Sebastián@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Dolores', 'Valbuena', 'Dolores_Valbuena@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Julie', 'Ferrer', 'Julie_Ferrer@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Mireia', 'Cabañas', 'Mireia_Cabañas@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Flavia', 'Amador', 'Flavia_Amador@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Albino', 'Macias', 'Albino_Macias@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Ester', 'Sánchez', 'Ester_Sánchez@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Luis Miguel', 'Galvez', 'Luis_Miguel_Galvez@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Loida', 'Arellano', 'Loida_Arellano@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Heraclio', 'Duque', 'Heraclio_Duque@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Herberto', 'Figueras', 'Herberto_Figueras@gmail.com', '2023-09-18', 1, 1, 1, 1, 8, 1),
('Teresa', 'Laguna', 'Teresa_Laguna@gmail.com', '2024-02-12', 2, 2, 1, 2, 10, 5),
('Estrella', 'Murillo', 'Estrella_Murillo@gmail.com', '2024-02-12', 2, 2, 1, 2, 10, 5),
('Ernesto', 'Uriarte', 'Ernesto_Uriarte@gmail.com', '2024-02-12', 2, 2, 1, 2, 10, 5),
('Andrea', 'Arriaga', 'Andrea_Arriaga@gmail.com', '2024-02-12', 2, 2, 1, 2, 10, 5),
('Daniela', 'Guitart', 'Daniela_Guitart@gmail.com', '2024-02-12', 2, 2, 1, 2, 10, 5),
('Timoteo', 'Trillo', 'Timoteo_Trillo@gmail.com', '2024-02-12', 2, 2, 1, 2, 10, 5),
('Ricarda', 'Tovar', 'Ricarda_Tovar@gmail.com', '2024-02-12', 2, 2, 1, 2, 10, 5),
('Alejandra', 'Vilaplana', 'Alejandra_Vilaplana@gmail.com', '2024-02-12', 2, 2, 1, 2, 10, 5),
('Daniel', 'Rosselló', 'Daniel_Rosselló@gmail.com', '2024-02-12', 2, 2, 1, 2, 10, 5),
('Rita', 'Olivares', 'Rita_Olivares@gmail.com', '2024-02-12', 2, 2, 1, 2, 10, 5),
('Cleto', 'Montes', 'Cleto_Montes@gmail.com', '2024-02-12', 2, 2, 1, 2, 10, 5),
('Marino', 'Castilla', 'Marino_Castilla@gmail.com', '2024-02-12', 2, 2, 1, 2, 10, 5),
('Estefanía', 'Valcárcel', 'Estefanía_Valcárcel@gmail.com', '2024-02-12', 2, 2, 1, 2, 10, 5),
('Noemí', 'Vilanova', 'Noemí_Vilanova@gmail.com', '2024-02-12', 2, 2, 1, 2, 10, 5);
